,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
44,2017-11-16,20:00,Série A,Matchweek 35,Thu,Away,L,1,3,Bahia,59.0,22896.0,Ricardo Oliveira,4-2-3-1,Sandro Ricci,Match Report,,12,7,,0,0,2017,Santos
45,2017-11-19,19:00,Série A,Matchweek 36,Sun,Home,W,1,0,Grêmio,42.0,4206.0,Renato,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,11,7,,0,0,2017,Santos
46,2017-11-26,19:00,Série A,Matchweek 37,Sun,Away,W,2,1,Flamengo,43.0,15456.0,Ricardo Oliveira,4-2-3-1,Braulio da Silva Machado,Match Report,,3,2,,0,0,2017,Santos
47,2017-12-03,17:00,Série A,Matchweek 38,Sun,Home,D,1,1,Avaí,56.0,7639.0,Renato,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,20,5,,0,0,2017,Santos
5,2017-05-14,19:00,Série A,Matchweek 1,Sun,Home,W,2,0,Botafogo (RJ),52.0,18551.0,Pedro Geromel,4-2-3-1,Braulio da Silva Machado,Match Report,,20,9,,0,0,2017,Gremio
6,2017-05-21,16:00,Série A,Matchweek 2,Sun,Away,W,2,0,Ath Paranaense,40.0,17244.0,Pedro Geromel,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,6,4,,0,0,2017,Gremio
8,2017-05-28,18:00,Série A,Matchweek 3,Sun,Away,L,3,4,Sport Recife,33.0,3441.0,Bressan,3-4-3,Jailson Macêdo Freitas,Match Report,,12,6,,1,1,2017,Gremio
9,2017-06-04,16:00,Série A,Matchweek 4,Sun,Home,W,2,0,Vasco da Gama,58.0,22578.0,Pedro Geromel,4-2-3-1,Sandro Ricci,Match Report,,11,2,,1,1,2017,Gremio
10,2017-06-08,20:00,Série A,Matchweek 5,Thu,Away,W,6,3,Chapecoense,52.0,14403.0,Marcelo Grohe,4-2-3-1,Rodolpho Toski Marques,Match Report,,10,7,,0,0,2017,Gremio
11,2017-06-12,20:00,Série A,Matchweek 6,Mon,Home,W,1,0,Bahia,64.0,22103.0,Maicon Souza,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,19,6,,0,0,2017,Gremio
12,2017-06-15,21:00,Série A,Matchweek 7,Thu,Away,W,2,0,Fluminense,50.0,11652.0,Maicon Souza,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,12,4,,0,0,2017,Gremio
13,2017-06-19,20:00,Série A,Matchweek 8,Mon,Away,D,3,3,Cruzeiro,45.0,20384.0,Pedro Geromel,4-2-3-1,Raphael Claus,Match Report,,15,7,,0,0,2017,Gremio
14,2017-06-22,21:00,Série A,Matchweek 9,Thu,Home,W,2,0,Coritiba,52.0,19035.0,Pedro Geromel,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,17,12,,0,0,2017,Gremio
15,2017-06-25,16:00,Série A,Matchweek 10,Sun,Home,L,0,1,Corinthians,57.0,50116.0,Pedro Geromel,4-2-3-1,Wilton Sampaio,Match Report,,14,6,,0,1,2017,Gremio
16,2017-07-01,16:00,Série A,Matchweek 11,Sat,Away,L,0,1,Palmeiras,40.0,31395.0,Marcelo Oliveira,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,5,2,,0,0,2017,Gremio
18,2017-07-09,16:00,Série A,Matchweek 12,Sun,Home,L,0,2,Avaí,73.0,27222.0,Pedro Geromel,4-2-3-1,Wagner Reway,Match Report,,19,11,,0,1,2017,Gremio
19,2017-07-13,19:30,Série A,Matchweek 13,Thu,Away,W,1,0,Flamengo,39.0,18204.0,Pedro Geromel,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,4,3,,0,0,2017,Gremio
20,2017-07-16,16:00,Série A,Matchweek 14,Sun,Home,W,3,1,Ponte Preta,61.0,19292.0,Pedro Geromel,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,12,6,,1,1,2017,Gremio
21,2017-07-19,19:30,Série A,Matchweek 15,Wed,Away,W,3,1,Vitória,49.0,5541.0,Maicon Souza,4-1-4-1,Pericles Bassols Pegado Cortez,Match Report,,7,5,,0,0,2017,Gremio
22,2017-07-24,20:00,Série A,Matchweek 16,Mon,Away,D,1,1,São Paulo,45.0,51511.0,Maicon Souza,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,10,5,,0,0,2017,Gremio
23,2017-07-30,19:00,Série A,Matchweek 17,Sun,Home,D,1,1,Santos,59.0,30034.0,Pedro Geromel,4-2-3-1,Braulio da Silva Machado,Match Report,,22,8,,0,0,2017,Gremio
24,2017-08-02,21:45,Série A,Matchweek 18,Wed,Away,W,1,0,Atl Goianiense,50.0,5253.0,Marcelo Grohe,4-1-4-1,Igor Junior Benevenuto,Match Report,,11,4,,0,0,2017,Gremio
25,2017-08-06,16:00,Série A,Matchweek 19,Sun,Home,W,2,0,Atlético Mineiro,62.0,22702.0,Maicon Souza,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,7,4,,0,0,2017,Gremio
27,2017-08-13,19:00,Série A,Matchweek 20,Sun,Away,L,0,1,Botafogo (RJ),62.0,6352.0,Marcelo Oliveira,4-2-3-1,Wagner Reway,Match Report,,14,5,,0,1,2017,Gremio
28,2017-08-20,11:00,Série A,Matchweek 21,Sun,Home,D,0,0,Ath Paranaense,52.0,15369.0,Marcelo Oliveira,4-2-3-1,Jailson Macêdo Freitas,Match Report,,7,2,,0,0,2017,Gremio
